school_name,address,postal_code,full_address,latitude,longitude,dgp_code,zone_code
GREENWOOD PRIMARY SCHOOL,11   WOODLANDS  DR  62,737942,11   WOODLANDS  DR  62 737942,1.43985,103.804609,WOODLANDS,NORTH
GUANGYANG PRIMARY SCHOOL,6    Bishan Street 12,579806,6    Bishan Street 12 579806,1.345887,103.849315,BISHAN,SOUTH
HENRY PARK PRIMARY SCHOOL,1    HOLLAND GROVE ROAD,278790,1    HOLLAND GROVE ROAD 278790,1.3168709,103.784132,BUKIT TIMAH,WEST
HOLY INNOCENTS' PRIMARY SCHOOL,5    Lorong Low Koon,536451,5    Lorong Low Koon 536451,1.366573,103.893711,HOUGANG,SOUTH
HORIZON PRIMARY SCHOOL,61   Edgedale Plains,828819,61   Edgedale Plains 828819,1.400025,103.913058,PUNGGOL,NORTH
HOUGANG PRIMARY SCHOOL,1    HOUGANG ST 93,534238,1    HOUGANG ST 93 534238,1.37734,103.881046,HOUGANG,NORTH
HUAMIN PRIMARY SCHOOL,21   YISHUN AVENUE 11,768857,21   YISHUN AVENUE 11 768857,1.4269293,103.8442699,YISHUN,NORTH
INNOVA PRIMARY SCHOOL,80   Woodlands Drive 17,737888,80   Woodlands Drive 17 737888,1.428957,103.790631,WOODLANDS,NORTH
JIEMIN PRIMARY SCHOOL,2    YISHUN STREET 71,768515,2    YISHUN STREET 71 768515,1.4276007,103.830502,YISHUN,NORTH
JING SHAN PRIMARY SCHOOL,5    ANG MO KIO ST 52,569228,5    ANG MO KIO ST 52 569228,1.3714789,103.851863,ANG MO KIO,SOUTH
JUNYUAN PRIMARY SCHOOL,2    Tampines Street 91,528906,2    Tampines Street 91 528906,1.347973,103.940012,TAMPINES,EAST
JURONG PRIMARY SCHOOL,320  JURONG EAST Street 32,609476,320  JURONG EAST Street 32 609476,1.348679,103.732992,JURONG EAST,WEST
JURONG WEST PRIMARY SCHOOL,30   JURONG WEST ST 61,648368,30   JURONG WEST ST 61 648368,1.339037,103.698854,JURONG WEST,WEST
JUYING PRIMARY SCHOOL,31   JURONG WEST STREET 91,649037,31   JURONG WEST STREET 91 649037,1.33837,103.688061,JURONG WEST,WEST
KEMING PRIMARY SCHOOL,90   BUKIT BATOK EAST AVENUE 6,659762,90   BUKIT BATOK EAST AVENUE 6 659762,1.3454147,103.7562455,BUKIT BATOK,WEST
KRANJI PRIMARY SCHOOL,11   CHOA CHU KANG STREET 54,689189,11   CHOA CHU KANG STREET 54 689189,1.393694,103.7477849,CHOA CHU KANG,WEST
KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,8    BISHAN STREET 13,579793,8    BISHAN STREET 13 579793,1.349116,103.854727,BISHAN,SOUTH
LAKESIDE PRIMARY SCHOOL,161  Corporation Walk,618310,161  Corporation Walk 618310,1.3387756,103.7186816,JURONG WEST,WEST
LIANHUA PRIMARY SCHOOL,2    BUKIT BATOK STREET 52,659243,2    BUKIT BATOK STREET 52 659243,1.354143,103.754202,BUKIT BATOK,WEST
MARSILING PRIMARY SCHOOL,31   WOODLANDS CENTRE ROAD,738927,31   WOODLANDS CENTRE ROAD 738927,1.433827,103.773663,WOODLANDS,NORTH
MAYFLOWER PRIMARY SCHOOL,6    ANG MO KIO AVE 2,569948,6    ANG MO KIO AVE 2 569948,1.3762339,103.8357985,ANG MO KIO,SOUTH
MERIDIAN PRIMARY SCHOOL,20   PASIR RIS ST 71,518798,20   PASIR RIS ST 71 518798,1.3762378,103.9352454,PASIR RIS,EAST
METHODIST GIRLS' SCHOOL (PRIMARY),11   Blackmore Drive,599986,11   Blackmore Drive 599986,1.332954,103.782566,BUKIT TIMAH,WEST
NAN CHIAU PRIMARY SCHOOL,50   ANCHORVALE LINK,545080,50   ANCHORVALE LINK 545080,1.391841,103.890834,SENG KANG,NORTH
NAN HUA PRIMARY SCHOOL,30   Jalan Lempeng,128806,30   Jalan Lempeng 128806,1.3196188,103.761412,CLEMENTI,WEST
NANYANG PRIMARY SCHOOL,52   KING'S ROAD,268097,52   KING'S ROAD 268097,1.3210855,103.8077117,BUKIT TIMAH,WEST
NAVAL BASE PRIMARY SCHOOL,7    YISHUN AVE 4,769028,7    YISHUN AVE 4 769028,1.4163264,103.8387445,YISHUN,NORTH
NEW TOWN PRIMARY SCHOOL,300  Tanglin Halt Road,148812,300  Tanglin Halt Road 148812,1.2999119,103.7998822,QUEENSTOWN,SOUTH
NGEE ANN PRIMARY SCHOOL,344  MARINE TERRACE,449149,344  MARINE TERRACE 449149,1.3055653,103.9181149,MARINE PARADE,EAST
NORTH SPRING PRIMARY SCHOOL,1    RIVERVALE STREET,545088,1    RIVERVALE STREET 545088,1.3868822,103.9036094,SENG KANG,NORTH
NORTH VIEW PRIMARY SCHOOL,210  YISHUN AVENUE 6,768960,210  YISHUN AVENUE 6 768960,1.4277102,103.8485274,YISHUN,NORTH
NORTH VISTA PRIMARY SCHOOL,20   Compassvale Link,544974,20   Compassvale Link 544974,1.3828084,103.8960478,SENG KANG,NORTH
NORTHLAND PRIMARY SCHOOL,15   YISHUN AVENUE 4,769026,15   YISHUN AVENUE 4 769026,1.4210098,103.8405561,YISHUN,NORTH
NORTHOAKS PRIMARY SCHOOL,61   Sembawang Drive,757622,61   Sembawang Drive 757622,1.456638,103.813826,SEMBAWANG,NORTH
OASIS PRIMARY SCHOOL,71   Edgefield Plains,828716,71   Edgefield Plains 828716,1.404288,103.9109619,PUNGGOL,EAST
OPERA ESTATE PRIMARY SCHOOL,48   FIDELIO STREET,458436,48   FIDELIO STREET 458436,1.3195034,103.9236436,BEDOK,EAST
PALM VIEW PRIMARY SCHOOL,150  Compassvale Bow,544822,150  Compassvale Bow 544822,1.3839074,103.8907953,SENG KANG,NORTH
PARK VIEW PRIMARY SCHOOL,60   PASIR RIS DRIVE 1,519524,60   PASIR RIS DRIVE 1 519524,1.377331,103.939371,PASIR RIS,EAST
PASIR RIS PRIMARY SCHOOL,5    PASIR RIS STREET 21,518968,5    PASIR RIS STREET 21 518968,1.3722117,103.9628003,PASIR RIS,EAST
PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),298  LORONG AH SOO,536741,298  LORONG AH SOO 536741,1.351003,103.884813,HOUGANG,EAST
PEI HWA PRESBYTERIAN PRIMARY SCHOOL,7    PEI WAH AVENUE,597610,7    PEI WAH AVENUE 597610,1.338081,103.77613,BUKIT TIMAH,WEST
PEI TONG PRIMARY SCHOOL,15   CLEMENTI AVENUE 5,129857,15   CLEMENTI AVENUE 5 129857,1.3160707,103.767568,CLEMENTI,SOUTH
PEIYING PRIMARY SCHOOL,651  YISHUN RING ROAD,768687,651  YISHUN RING ROAD 768687,1.4174051,103.8302303,YISHUN,NORTH
PIONEER PRIMARY SCHOOL,23   JURONG WEST STREET 81,649076,23   JURONG WEST STREET 81 649076,1.3485344,103.6946147,JURONG WEST,WEST
PRINCESS ELIZABETH PRIMARY SCHOOL,30   BUKIT BATOK WEST AVENUE 3,659163,30   BUKIT BATOK WEST AVENUE 3 659163,1.349481,103.74102,BUKIT BATOK,WEST
PUNGGOL COVE PRIMARY SCHOOL,52   Sumang Walk,828674,52   Sumang Walk 828674,1.4116904,103.89861,PUNGGOL,EAST
PUNGGOL GREEN PRIMARY SCHOOL,98   Punggol Walk,828772,98   Punggol Walk 828772,1.4019576,103.8986304,PUNGGOL,EAST
PUNGGOL PRIMARY SCHOOL,61   HOUGANG AVENUE 8,538787,61   HOUGANG AVENUE 8 538787,1.37819,103.894746,HOUGANG,SOUTH
PUNGGOL VIEW PRIMARY SCHOOL,9    Punggol Place,828845,9    Punggol Place 828845,1.4052956,103.9051798,PUNGGOL,EAST
QIFA PRIMARY SCHOOL,50   WEST COAST AVENUE,128104,50   WEST COAST AVENUE 128104,1.3126176,103.7568857,CLEMENTI,WEST
QIHUA PRIMARY SCHOOL,5    WOODLANDS STREET 81,738525,5    WOODLANDS STREET 81 738525,1.442105,103.788557,WOODLANDS,NORTH
QUEENSTOWN PRIMARY SCHOOL,310  MARGARET DR,149303,310  MARGARET DR 149303,1.2958718,103.8076794,QUEENSTOWN,SOUTH
RADIN MAS PRIMARY SCHOOL,1    BUKIT PURMEI AVENUE,99840,1    BUKIT PURMEI AVENUE 99840,1.275094,103.8240741,BUKIT MERAH,SOUTH
RAFFLES GIRLS' PRIMARY SCHOOL,21   Hillcrest Road,289072,21   Hillcrest Road 289072,1.3300863,103.8068785,BUKIT TIMAH,SOUTH
RIVER VALLEY PRIMARY SCHOOL,2    RIVER VALLEY GREEN,237993,2    RIVER VALLEY GREEN 237993,1.2938988,103.8362883,CENTRAL,SOUTH
RIVERSIDE PRIMARY SCHOOL,110  Woodlands Crescent,737803,110  Woodlands Crescent 737803,1.4472565,103.8017548,WOODLANDS,NORTH
RIVERVALE PRIMARY SCHOOL,80   RIVERVALE DRIVE,545092,80   RIVERVALE DRIVE 545092,1.393196,103.904383,SENG KANG,NORTH
RULANG PRIMARY SCHOOL,6    JURONG WEST STREET 52,649295,6    JURONG WEST STREET 52 649295,1.3460661,103.7188844,JURONG WEST,WEST
SEMBAWANG PRIMARY SCHOOL,10   SEMBAWANG DRIVE,757715,10   SEMBAWANG DRIVE 757715,1.4454915,103.8211733,SEMBAWANG,NORTH
SENG KANG PRIMARY SCHOOL,21   COMPASSVALE WALK,545166,21   COMPASSVALE WALK 545166,1.389086,103.899471,SENG KANG,NORTH
SENGKANG GREEN PRIMARY SCHOOL,15   Fernvale Road,797636,15   Fernvale Road 797636,1.392548,103.8753898,SENG KANG,EAST
SHUQUN PRIMARY SCHOOL,8    JURONG WEST STREET 51,649332,8    JURONG WEST STREET 51 649332,1.347595,103.7215779,JURONG WEST,WEST
SI LING PRIMARY SCHOOL,61   WOODLANDS AVENUE 1,739067,61   WOODLANDS AVENUE 1 739067,1.432693,103.78577,WOODLANDS,NORTH
SINGAPORE CHINESE GIRLS' PRIMARY SCHOOL,190  DUNEARN ROAD,309437,190  DUNEARN ROAD 309437,1.3212164,103.8283283,NOVENA,NORTH
SOUTH VIEW PRIMARY SCHOOL,6    Choa Chu Kang Central,689762,6    Choa Chu Kang Central 689762,1.381324,103.747145,CHOA CHU KANG,WEST
SPRINGDALE PRIMARY SCHOOL,71   Anchorvale Link,544799,71   Anchorvale Link 544799,1.3949665,103.8897326,SENG KANG,EAST
ST. ANTHONY'S CANOSSIAN PRIMARY SCHOOL,1602 BEDOK NORTH AVE 4,469701,1602 BEDOK NORTH AVE 4 469701,1.334282,103.941072,BEDOK,EAST
ST. ANTHONY'S PRIMARY SCHOOL,30   Bukit Batok St 32,659401,30   Bukit Batok St 32 659401,1.3642757,103.7490186,BUKIT BATOK,WEST
ST. GABRIEL'S PRIMARY SCHOOL,220  Lorong Chuan,556742,220  Lorong Chuan 556742,1.3497182,103.8620253,SERANGOON,SOUTH
ST. HILDA'S PRIMARY SCHOOL,2    Tampines Ave 3,529706,2    Tampines Ave 3 529706,1.3492104,103.936605,TAMPINES,EAST
ST. MARGARET'S PRIMARY SCHOOL,2    MATTAR ROAD,387724,2    MATTAR ROAD 387724,1.3246436,103.881867,CENTRAL,SOUTH
STAMFORD PRIMARY SCHOOL,1    VICTORIA LANE,198423,1    VICTORIA LANE 198423,1.304116,103.8572692,CENTRAL,SOUTH
TAMPINES NORTH PRIMARY SCHOOL,30   TAMPINES AVENUE 9,529565,30   TAMPINES AVENUE 9 529565,1.360298,103.948581,TAMPINES,EAST
TAMPINES PRIMARY SCHOOL,250  TAMPINES STREET 12,529426,250  TAMPINES STREET 12 529426,1.349774,103.94402,TAMPINES,EAST
TANJONG KATONG PRIMARY SCHOOL,860  NEW UPPER CHANGI ROAD,467353,860  NEW UPPER CHANGI ROAD 467353,1.3243906,103.9388712,MARINE PARADE,EAST
TECK GHEE PRIMARY SCHOOL,1    ANG MO KIO STREET 32,569299,1    ANG MO KIO STREET 32 569299,1.3653954,103.8506032,ANG MO KIO,SOUTH
TECK WHYE PRIMARY SCHOOL,11   TECK WHYE WALK,688261,11   TECK WHYE WALK 688261,1.383126,103.753548,CHOA CHU KANG,WEST
TELOK KURAU PRIMARY SCHOOL,50   BEDOK RESERVOIR RD,479239,50   BEDOK RESERVOIR RD 479239,1.3309135,103.9114083,BEDOK,EAST
TEMASEK PRIMARY SCHOOL,501  BEDOK SOUTH AVE 3,469300,501  BEDOK SOUTH AVE 3 469300,1.317502,103.945488,BEDOK,EAST
TOWNSVILLE PRIMARY SCHOOL,3    ANG MO KIO AVE 10,569730,3    ANG MO KIO AVE 10 569730,1.3600534,103.8537829,ANG MO KIO,SOUTH
UNITY PRIMARY SCHOOL,21   CHOA CHU KANG CRESCENT,688268,21   CHOA CHU KANG CRESCENT 688268,1.403245,103.74729,CHOA CHU KANG,WEST
VALOUR PRIMARY SCHOOL,52   Sumang Walk,828674,52   Sumang Walk 828674,1.4116904,103.89861,PUNGGOL,EAST
WATERWAY PRIMARY SCHOOL,70   Punggol Drive,828802,70   Punggol Drive 828802,1.3991315,103.9186176,PUNGGOL,EAST
WELLINGTON PRIMARY SCHOOL,10   WELLINGTON CIRCLE,757702,10   WELLINGTON CIRCLE 757702,1.4519448,103.8222601,SEMBAWANG,NORTH
WEST GROVE PRIMARY SCHOOL,1    JURONG WEST ST 72,649223,1    JURONG WEST ST 72 649223,1.34455,103.698987,JURONG WEST,WEST
WEST SPRING PRIMARY SCHOOL,60   Bukit Panjang Ring Road,679946,60   Bukit Panjang Ring Road 679946,1.3895049,103.7652356,BUKIT PANJANG,WEST
WEST VIEW PRIMARY SCHOOL,31   SENJA ROAD,677742,31   SENJA ROAD 677742,1.3835817,103.759692,BUKIT PANJANG,WEST
WESTWOOD PRIMARY SCHOOL,1    Jurong West Street 73,649188,1    Jurong West Street 73 649188,1.3475751,103.7003201,JURONG WEST,WEST
WHITE SANDS PRIMARY SCHOOL,2    PASIR RIS ST 11,519075,2    PASIR RIS ST 11 519075,1.3649338,103.9612985,PASIR RIS,EAST
WOODGROVE PRIMARY SCHOOL,2    WOODLANDS DRIVE 14,738079,2    WOODLANDS DRIVE 14 738079,1.4331667,103.7904291,WOODLANDS,NORTH
WOODLANDS PRIMARY SCHOOL,10   WOODLANDS DRIVE 50,738853,10   WOODLANDS DRIVE 50 738853,1.436771,103.791794,WOODLANDS,NORTH
WOODLANDS RING PRIMARY SCHOOL,11   WOODLANDS RING ROAD,738240,11   WOODLANDS RING ROAD 738240,1.434839,103.797928,WOODLANDS,NORTH
XINGHUA PRIMARY SCHOOL,45   HOUGANG AVENUE 1,538882,45   HOUGANG AVENUE 1 538882,1.3578717,103.8901506,HOUGANG,SOUTH
XINGNAN PRIMARY SCHOOL,5    JURONG WEST STREET 91,649036,5    JURONG WEST STREET 91 649036,1.34283,103.68778,JURONG WEST,WEST
XINMIN PRIMARY SCHOOL,9    HOUGANG AVENUE 8,538784,9    HOUGANG AVENUE 8 538784,1.371069,103.8830289,HOUGANG,NORTH
XISHAN PRIMARY SCHOOL,8    YISHUN STREET 21,768611,8    YISHUN STREET 21 768611,1.4334989,103.8378387,YISHUN,NORTH
YANGZHENG PRIMARY SCHOOL,15   SERANGOON AVENUE 3,556108,15   SERANGOON AVENUE 3 556108,1.3488764,103.8682765,SERANGOON,SOUTH
YEW TEE PRIMARY SCHOOL,10   CHOA CHU KANG ST 64,689100,10   CHOA CHU KANG ST 64 689100,1.396985,103.751221,CHOA CHU KANG,WEST
YIO CHU KANG PRIMARY SCHOOL,1    HOUGANG STREET 51,538720,1    HOUGANG STREET 51 538720,1.3777919,103.885447,HOUGANG,NORTH
YISHUN PRIMARY SCHOOL,500  YISHUN RING ROAD,768679,500  YISHUN RING ROAD 768679,1.4334484,103.834125,YISHUN,NORTH
YU NENG PRIMARY SCHOOL,56   BEDOK NORTH ST 3,469623,56   BEDOK NORTH ST 3 469623,1.3338657,103.9324355,na,na
YUHUA PRIMARY SCHOOL,158  JURONG EAST STREET 24,609558,158  JURONG EAST STREET 24 609558,1.3428019,103.7406829,JURONG EAST,WEST
YUMIN PRIMARY SCHOOL,3    TAMPINES STREET 21,529393,3    TAMPINES STREET 21 529393,1.3514701,103.9507462,TAMPINES,EAST
ZHANGDE PRIMARY SCHOOL,51   Jalan Membina,169485,51   Jalan Membina 169485,1.2843455,103.8260335,BUKIT MERAH,SOUTH
ZHENGHUA PRIMARY SCHOOL,9    Fajar Road,679002,9    Fajar Road 679002,1.37957,103.769301,BUKIT PANJANG,WEST
ZHONGHUA PRIMARY SCHOOL,12   SERANGOON AVENUE 4,556095,12   SERANGOON AVENUE 4 556095,1.359895,103.869558,SERANGOON,SOUTH
AI TONG SCHOOL,100  Bright Hill Drive,579646,100  Bright Hill Drive 579646,1.360415,103.832615,BISHAN,SOUTH
CHIJ OUR LADY OF GOOD COUNSEL,2C   Burghley Drive,558979,2C   Burghley Drive 558979,1.35732,103.863998,SERANGOON,SOUTH
CHIJ (KELLOCK),1    Bukit Teresa Road,99757,1    Bukit Teresa Road 99757,1.2749325,103.8279734,BUKIT MERAH,SOUTH
CHIJ OUR LADY OF THE NATIVITY,1257 UPPER SERANGOON ROAD,534793,1257 UPPER SERANGOON ROAD 534793,1.372971,103.898088,HOUGANG,SOUTH
CHIJ OUR LADY QUEEN OF PEACE,4    Chestnut Drive,679287,4    Chestnut Drive 679287,1.366297,103.767594,BUKIT PANJANG,WEST
CHIJ ST. NICHOLAS GIRLS' SCHOOL,501  ANG MO KIO STREET 13,569405,501  ANG MO KIO STREET 13 569405,1.3736139,103.834125,ANG MO KIO,NORTH
CHONGFU SCHOOL,170  YISHUN AVENUE 6,768959,170  YISHUN AVENUE 6 768959,1.438563,103.839285,YISHUN,NORTH
DE LA SALLE SCHOOL,11   Choa Chu Kang St 52,689285,11   Choa Chu Kang St 52 689285,1.3947804,103.7435172,CHOA CHU KANG,WEST
HAIG GIRLS' SCHOOL,51   Koon Seng Road,427072,51   Koon Seng Road 427072,1.3115593,103.9026249,GEYLANG,EAST
HONG WEN SCHOOL,30   TOWNER ROAD,327829,30   TOWNER ROAD 327829,1.3219278,103.8576768,KALLANG,SOUTH
KHENG CHENG SCHOOL,15   LORONG 3 TOA PAYOH,319580,15   LORONG 3 TOA PAYOH 319580,1.337666,103.847796,TOA PAYOH,SOUTH
KONG HWA SCHOOL,350  GUILLEMARD ROAD,399772,350  GUILLEMARD ROAD 399772,1.311,103.8878503,GEYLANG,EAST
MAHA BODHI SCHOOL,10   UBI AVENUE 1,408931,10   UBI AVENUE 1 408931,1.328413,103.9015463,GEYLANG,EAST
MARYMOUNT CONVENT SCHOOL,20   Marymount Road,297754,20   Marymount Road 297754,1.3397452,103.8393785,TOA PAYOH,SOUTH
MEE TOH SCHOOL,21   EDGEDALE PLAINS,828867,21   EDGEDALE PLAINS 828867,1.3947729,103.9089333,PUNGGOL,NORTH
PEI CHUN PUBLIC SCHOOL,16   LORONG 7 TOA PAYOH,319320,16   LORONG 7 TOA PAYOH 319320,1.3371116,103.855655,TOA PAYOH,SOUTH
POI CHING SCHOOL,21   TAMPINES STREET 71,529067,21   TAMPINES STREET 71 529067,1.3577836,103.9352454,TAMPINES,EAST
RED SWASTIKA SCHOOL,350  BEDOK NORTH AVENUE 3,469719,350  BEDOK NORTH AVENUE 3 469719,1.3332677,103.9346109,BEDOK,EAST
ROSYTH SCHOOL,21   Serangoon North Avenue 4,555855,21   Serangoon North Avenue 4 555855,1.3729334,103.8748903,SERANGOON,NORTH
SINGAPORE CHINESE GIRLS' SCHOOL,190  DUNEARN ROAD,309437,190  DUNEARN ROAD 309437,1.3212164,103.8283283,NOVENA,NORTH
ST. ANDREW'S JUNIOR SCHOOL,2    FRANCIS THOMAS DRIVE,359337,2    FRANCIS THOMAS DRIVE 359337,1.331468,103.8652089,TOA PAYOH,SOUTH
